Stimulus Name,Respondent Name,Gender,Age,Group,Fixation Number(per AOI),Fixation Centroid X,Fixation Centroid Y,Fixation StartMs,Duration Ms,AOI Label,Fixation Sequence(Across AOIs)
Survey-Starting-Agreement,P02,Female,22,G1,63,1570.35714285714,472.928571428572,16286.1797,233.165000000005,N/A,63
Survey-Starting-Agreement,P02,Female,22,G1,64,1669.63888888889,464.611111111111,16552.65435,299.784600000003,N/A,64
Survey-Starting-Agreement,P02,Female,22,G1,65,174.631578947368,525.263157894737,17118.9139,316.439299999998,N/A,65
Survey-Starting-Agreement,P02,Female,22,G1,66,309.692307692308,518.384615384615,17485.3168,216.510749999998,N/A,66
Survey-Starting-Agreement,P02,Female,22,G1,67,467.25,526625,17751.7913,133.238300000001,N/A,67
Survey-Starting-Agreement,P02,Female,22,G1,68,401.75,518.6,17918.33905,166.546599999998,N/A,68
Survey-Starting-Agreement,P02,Female,22,G1,69,682.65,524.75,18151.5042,166.547699999999,N/A,69
Survey-Starting-Agreement,P02,Female,22,G1,70,879.166666666667,533.055555555556,18368.01535,149.892200000002,N/A,70
Survey-Starting-Agreement,P02,Female,22,G1,71,819,536,18551.21685,83.2734000000019,N/A,71
Survey-Starting-Agreement,P02,Female,22,G1,72,1008.83333333333,536.722222222222,18701.10915,149.892350000002,N/A,72
Survey-Starting-Agreement,P02,Female,22,G1,73,1356.75,518.7,18934.2751,166.546849999999,N/A,73
Survey-Starting-Agreement,P02,Female,22,G1,74,1548.3125,514625,19150786,133.2376,N/A,74
Survey-Starting-Agreement,P02,Female,22,G1,75,1669.5,520.071428571429,19333.9877,349.747900000002,N/A,75
Survey-Starting-Agreement,P02,Female,22,G1,76,259.0625,579.6875,19783.66345,133.238649999999,N/A,76
Survey-Starting-Agreement,P02,Female,22,G1,77,186.222222222222,597.388888888889,19950.21115,149.891599999999,N/A,77
Survey-Starting-Agreement,P02,Female,22,G1,78,366.111111111111,588.722222222222,20150.0667,149.892250000001,N/A,78
Survey-Starting-Agreement,P02,Female,22,G1,79,458,583375,20333.2686,66.6187000000064,N/A,79
Survey-Starting-Agreement,P02,Female,22,G1,80,740.75,602625,20466.5065,133.236950000002,N/A,80
Survey-Starting-Agreement,P02,Female,22,G1,81,939.5,585.25,20649.70785,133.236700000001,N/A,81
Survey-Starting-Agreement,P02,Female,22,G1,82,705.5,686375,20849564,199.856099999997,N/A,82
Survey-Starting-Agreement,P02,Female,22,G1,83,494.076923076923,687.961538461538,21099.38405,216.510949999996,N/A,83
Survey-Starting-Agreement,P02,Female,22,G1,84,264.777777777778,687.333333333333,21365.86,149.891049999998,N/A,84
